13:25:01.089 -> Humidity: 56.00 %, Temp: 19.20 Celsius
13:26:01.729 -> Humidity: 93.00 %, Temp: 20.10 Celsius
13:26:03.744 -> Humidity: 93.00 %, Temp: 20.00 Celsius
13:26:05.806 -> Humidity: 93.00 %, Temp: 20.00 Celsius
13:26:07.821 -> Humidity: 93.00 %, Temp: 19.90 Celsius
13:26:09.836 -> Humidity: 93.00 %, Temp: 19.80 Celsius
13:26:11.898 -> Humidity: 93.00 %, Temp: 19.80 Celsius
13:26:13.913 -> Humidity: 93.00 %, Temp: 19.70 Celsius
13:26:15.928 -> Humidity: 93.00 %, Temp: 19.70 Celsius
13:26:17.990 -> Humidity: 93.00 %, Temp: 19.70 Celsius
13:26:20.005 -> Humidity: 93.00 %, Temp: 19.50 Celsius
13:26:22.020 -> Humidity: 93.00 %, Temp: 19.50 Celsius
13:26:24.035 -> Humidity: 93.00 %, Temp: 19.40 Celsius
13:26:26.097 -> Humidity: 93.00 %, Temp: 19.40 Celsius
13:26:28.098 -> Humidity: 93.00 %, Temp: 19.40 Celsius
13:26:30.160 -> Humidity: 93.00 %, Temp: 19.30 Celsius
13:26:32.175 -> Humidity: 93.00 %, Temp: 19.20 Celsius
13:26:34.190 -> Humidity: 93.00 %, Temp: 19.20 Celsius
13:26:36.224 -> Humidity: 93.00 %, Temp: 19.20 Celsius
13:26:38.274 -> Humidity: 93.00 %, Temp: 19.10 Celsius
13:26:40.289 -> Humidity: 93.00 %, Temp: 19.10 Celsius
13:26:42.304 -> Humidity: 93.00 %, Temp: 19.10 Celsius
13:26:44.319 -> Humidity: 93.00 %, Temp: 19.20 Celsius
13:26:46.381 -> Humidity: 93.00 %, Temp: 19.60 Celsius
13:26:48.396 -> Humidity: 93.00 %, Temp: 19.80 Celsius
13:26:50.411 -> Humidity: 93.00 %, Temp: 19.90 Celsius
13:26:52.473 -> Humidity: 93.00 %, Temp: 19.80 Celsius
13:26:54.488 -> Humidity: 93.00 %, Temp: 19.90 Celsius
13:26:56.503 -> Humidity: 93.00 %, Temp: 19.90 Celsius
13:26:58.565 -> Humidity: 93.00 %, Temp: 19.90 Celsius
13:27:00.580 -> Humidity: 93.00 %, Temp: 19.90 Celsius
13:27:02.595 -> Humidity: 93.00 %, Temp: 19.80 Celsius
13:27:04.610 -> Humidity: 93.00 %, Temp: 19.80 Celsius
13:27:06.672 -> Humidity: 93.00 %, Temp: 19.70 Celsius
13:27:08.687 -> Humidity: 93.00 %, Temp: 19.70 Celsius
13:27:10.702 -> Humidity: 93.00 %, Temp: 19.70 Celsius
13:27:12.764 -> Humidity: 93.00 %, Temp: 19.60 Celsius
13:27:14.779 -> Humidity: 93.00 %, Temp: 19.50 Celsius
13:27:16.794 -> Humidity: 93.00 %, Temp: 19.50 Celsius
13:27:18.855 -> Humidity: 93.00 %, Temp: 19.40 Celsius
13:27:20.871 -> Humidity: 93.00 %, Temp: 19.40 Celsius
13:27:22.885 -> Humidity: 93.00 %, Temp: 19.40 Celsius
13:27:24.947 -> Humidity: 93.00 %, Temp: 19.30 Celsius
13:27:26.962 -> Humidity: 93.00 %, Temp: 19.30 Celsius
13:27:28.977 -> Humidity: 93.00 %, Temp: 19.20 Celsius
13:27:30.992 -> Humidity: 93.00 %, Temp: 19.30 Celsius
13:27:33.054 -> Humidity: 93.00 %, Temp: 19.20 Celsius
13:27:35.069 -> Humidity: 93.00 %, Temp: 19.10 Celsius
13:27:37.084 -> Humidity: 93.00 %, Temp: 19.20 Celsius
13:27:39.146 -> Humidity: 93.00 %, Temp: 19.20 Celsius
13:27:41.161 -> Humidity: 93.00 %, Temp: 19.10 Celsius
13:27:43.176 -> Humidity: 93.00 %, Temp: 19.10 Celsius
13:27:45.191 -> Humidity: 93.00 %, Temp: 19.10 Celsius
13:27:47.253 -> Humidity: 93.00 %, Temp: 19.10 Celsius
13:27:49.268 -> Humidity: 93.00 %, Temp: 19.40 Celsius
13:27:51.283 -> Humidity: 93.00 %, Temp: 19.50 Celsius
13:27:53.345 -> Humidity: 93.00 %, Temp: 19.50 Celsius
13:27:55.360 -> Humidity: 93.00 %, Temp: 19.50 Celsius
13:27:57.374 -> Humidity: 93.00 %, Temp: 19.50 Celsius
13:27:59.437 -> Humidity: 93.00 %, Temp: 19.40 Celsius
13:28:01.451 -> Humidity: 93.00 %, Temp: 19.40 Celsius
13:28:03.466 -> Humidity: 93.00 %, Temp: 19.40 Celsius
13:28:05.481 -> Humidity: 93.00 %, Temp: 19.40 Celsius
13:28:07.543 -> Humidity: 93.00 %, Temp: 19.40 Celsius
13:28:09.558 -> Humidity: 93.00 %, Temp: 19.30 Celsius
13:28:11.573 -> Humidity: 93.00 %, Temp: 19.20 Celsius
13:28:13.635 -> Humidity: 93.00 %, Temp: 19.30 Celsius
13:28:15.650 -> Humidity: 93.00 %, Temp: 19.20 Celsius
13:28:17.665 -> Humidity: 93.00 %, Temp: 19.20 Celsius
13:28:19.727 -> Humidity: 93.00 %, Temp: 19.20 Celsius
13:28:21.742 -> Humidity: 91.00 %, Temp: 19.20 Celsius
13:28:23.757 -> Humidity: 89.00 %, Temp: 19.20 Celsius
13:28:25.772 -> Humidity: 87.00 %, Temp: 19.20 Celsius
13:28:27.834 -> Humidity: 84.00 %, Temp: 19.20 Celsius
13:28:29.849 -> Humidity: 82.00 %, Temp: 19.20 Celsius
13:28:31.864 -> Humidity: 80.00 %, Temp: 19.20 Celsius
13:28:33.926 -> Humidity: 78.00 %, Temp: 19.20 Celsius
13:28:35.941 -> Humidity: 77.00 %, Temp: 19.20 Celsius
13:28:37.956 -> Humidity: 75.00 %, Temp: 19.20 Celsius
13:28:39.971 -> Humidity: 74.00 %, Temp: 19.20 Celsius
13:28:42.033 -> Humidity: 73.00 %, Temp: 19.20 Celsius
13:28:44.048 -> Humidity: 72.00 %, Temp: 19.10 Celsius
13:28:46.063 -> Humidity: 71.00 %, Temp: 19.20 Celsius
13:28:48.125 -> Humidity: 70.00 %, Temp: 19.20 Celsius
13:28:50.131 -> Humidity: 69.00 %, Temp: 19.10 Celsius
13:28:52.146 -> Humidity: 68.00 %, Temp: 19.10 Celsius
13:28:54.208 -> Humidity: 67.00 %, Temp: 19.20 Celsius
13:28:56.223 -> Humidity: 66.00 %, Temp: 19.10 Celsius
13:28:58.238 -> Humidity: 66.00 %, Temp: 19.20 Celsius
13:29:00.300 -> Humidity: 65.00 %, Temp: 19.10 Celsius
13:29:02.328 -> Humidity: 65.00 %, Temp: 19.10 Celsius
13:29:04.343 -> Humidity: 64.00 %, Temp: 19.10 Celsius
13:29:06.358 -> Humidity: 64.00 %, Temp: 19.10 Celsius
13:29:08.420 -> Humidity: 93.00 %, Temp: 20.90 Celsius
13:29:10.434 -> Humidity: 95.00 %, Temp: 22.20 Celsius
13:29:12.449 -> Humidity: 95.00 %, Temp: 23.30 Celsius
